Year,Sector_1,Sector_2,Sector_3,Sector_4,Element,Category,Unit,Value
1883,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1629171.0885786
1883,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1623920.8960492
1883,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1883,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1883,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1883,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1883,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,5311339652.84689
1883,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,3095390104.17074
1884,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,3992750.81940029
1884,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,7158451.14212354
1884,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,47312511.1303875
1884,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,51026636.8459822
1884,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1550511.30956618
1884,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1544852.17573987
